場所名,カテゴリ名,ジャンル ,時事イベント (Yes or No),画像へのパス,一覧説明文(冒頭),説明文 (簡易的),所要時間,インドア or アウトドア,開催期間(From)：,開催期間(To),おすすめのポイント,郵便番号(ハイフンなし),都道府県,住所(ハイフン半角),建物名(必要あれば),メモ,単価,画像①,画像②,画像③,好み
世界のカバン博物館,アート,美術館,no,sekai_kabanhakubutukan.jpg,約550点ものカバンを所蔵する博物館。カバンの歴史や文化にも触れられる。,約550点ものカバンを所蔵する博物館。世界五大陸、50ヵ国以上から収集されたコレクションを見ていると、まるで世界旅行をしている気分に。カバンの歴史や文化にも触れられる。,30,インドア,,,,1110043,東京都,台東区駒形1-8-10,,,0,,,,モダン.気軽に楽しみたい.穴場.大人向け
アミューズミュージアム,アート,美術館,no,amuse_musiam.jpg,江戸から昭和にかけて庶民が作りだした衣類のコレクションBOROとデジタル浮世絵は必見。,江戸から昭和にかけて庶民が作りだした衣類のコレクションBOROとデジタル浮世絵は必見。ミュージアム閉館後にオープンするバーからは、浅草寺・五重塔とスカイツリーを望む美しい夜景が自慢。,40,インドア,,,,1110032,東京都,台東区浅草2-34-3,,,1080,,,,モダン.じっくり楽しみたい.穴場.大人向け
屏風博物館,アート,美術館,no,byobu_hakubutukan.jpg,屏風店・和集屋の店内にあり、2種類の絵が楽しめるからくり屏風など、大小さまざまの多彩な屏風を展示している。,屏風店・和集屋の店内にあり、2種類の絵が楽しめるからくり屏風など、大小さまざまの多彩な屏風を展示している。製造直売もしており、帯、着物などを使用したオリジナル屏風の注文も可能。,40,インドア,,,,1310033,東京都,墨田区向島1-31-6,,,0,,,,トラディショナル.じっくり楽しみたい.穴場.静けさ.大人向け
東京国立博物館,アート,美術館,no,tokyokokuritu_hakubutukan.jpg,日本を代表する博物館の一つ．収蔵品の総数は１１万件を超え，国宝８７件，重要文化財６２９件を含む,日本を代表する博物館の一つ．１８７２年設立．日本と東洋の歴史的遺産や美術品の収集保管，展示公開，調査研究，普及などを目的として運営される，本館，表慶館，東洋館，平成館，法隆寺宝物館の５つの展示館と資料館その他の施設からなる．収蔵品の総数は１１万件を超え，国宝８７件，重要文化財６２９件を含む,60,インドア,,,,1108712,東京都,台東区上野公園13-9,,,620,,,,トラディショナル.じっくり楽しみたい.有名.大人向け
国立科学博物館,アート,美術館,no,kagakuhakubutukan.jpg,日本を代表する科学博物館の一つ．自然科学や社会教育の振興を目的とし，主に自然史に関する資料の収集保管，展示公開，調査研究を行う．,日本を代表する科学博物館の一つ．自然科学や社会教育の振興を目的とし，主に自然史に関する資料の収集保管，展示公開，調査研究を行う．,90,インドア,,,,1108718,東京都,台東区上野公園7-20,,,620,,,,モダン.気軽に楽しみたい.有名.静けさ.大人向け.子供向け
東京都美術館,アート,美術館,no,tokyobijutukan.jpg,上野恩賜公園内にある東京都立の美術館．さまざまな展覧会が行われている,上野恩賜公園内にある東京都立の美術館．さまざまな展覧会が行われている。大正15年（1926）5月1日に開館した東京府(都)美術館は、半世紀にわたって新作発表の場として、都民に『上野の美術館』と親しまれてきた。また、戦前には回顧展や名作展などの様々な企画展や新しい美術の動向を伝える外国美術展が開催され、美術の殿堂としての役割を担ってきた。,60,インドア,,,,1100007,東京都,台東区上野公園8-36,,,0,,,,モダン.じっくり楽しみたい.有名.静けさ.大人向け
国立西洋美術館,アート,美術館,no,seiyo_bijutukan.jpg,１９世紀から２０世紀前半の西洋絵画，彫刻を中心とする松方コレクションを基として，１９５９年に設立された．,１９世紀から２０世紀前半の西洋絵画，彫刻を中心とする松方コレクションを基として，１９５９年に設立された．本館の設計はル・コルビジェらによるもので，世界遺産登録をめざした運動が行われている．,90,インドア,,,,1100007,東京都,台東区上野公園7-7,,,500,,,,モダン.じっくり楽しみたい.有名.静けさ.大人向け
上野の森美術館,アート,美術館,no,uenonomoribijutukan.jpg,上野公園には珍しい私立美術館．公募展や特別展などが随時開催されている．,上野公園には珍しい私立美術館．公募展や特別展などが随時開催されている．日本の美術団体としてはもっとも古い公益財団法人日本美術協会が運営する．,40,インドア,,,,1100007,東京都,台東区上野公園1-2,,,1600,,,,モダン.じっくり楽しみたい.有名.静けさ.大人向け
隅田公園,自然,公園,no,sumida_koen.jpeg,隅田川沿いに広がる公園．対岸にアサヒビールのユニークな社屋やスカイツリーをのぞむビュースポットである．,隅田川沿いに広がる公園．対岸にアサヒビールのユニークな社屋やスカイツリーをのぞむビュースポットである．,30,アウトドア,,,,1310033,東京都,墨田区向島1-2-5,,,0,,,,気軽に楽しみたい.有名.賑わい.子供向け
大横川親水公園,自然,公園,no,ooyokogawa_koen.jpg,大横川を埋め立ててできた南北に広がる区民の憩いの場。ベンチや噴水、緑地などが整備され、街歩きの途中の休憩地点として最適。,大横川を埋め立ててできた南北に広がる区民の憩いの場。ベンチや噴水、緑地などが整備され、街歩きの途中の休憩地点として最適。園内には釣り堀もある。,20,アウトドア,,,,1300001,東京都,墨田区吾妻橋3-4-5,,,0,,,,気軽に楽しみたい.子供向け
すみだ水族館,自然,,no,sumida_suizokukan.jpg,都市にいながら「 いきもののいのち」とそれをはぐくむ「水」を体感できる．,東京スカイツリータウン内に2012年5月22日にオープンした．「いのちのゆりかご～水 そのはぐくみ～」をコンセプトに、都市にいながら「 いきもののいのち」とそれをはぐくむ「水」を体感できる．,90,インドア,,,,1310045,東京都,墨田区押上1-1-2,,,2050,,,,気軽に楽しみたい.有名.静けさ.子供向け.大人向け
上野動物園,自然,,no,uenodobutuen.jpg,１８８２年開園の日本最古の動物園．パンダやハシビロコウ，スマトラトラほか，５００種類あまりの動物を飼育している．,１８８２年開園の日本最古の動物園．パンダやハシビロコウ，スマトラトラほか，５００種類あまりの動物を飼育している．丘の上の東園と不忍池ぞいの西園に分かれており，現存する日本最古のモノレールが両者をつないでいる（徒歩移動も可能）,120,アウトドア,,,,1100007,東京都,台東区上野公園9-83,,,600,,,,気軽に楽しみたい.有名.賑わい.子供向け.大人向け
不忍池,自然,,no,sinobazuike.jpg,不忍池は上野恩賜公園の中に位置する天然の池である。,東京都台東区西部の上野恩賜公園にある池。寛永2（1625）年天海僧正が寛永寺を建立した際，京都の比叡山に対して忍ヶ岡を東叡山に，池を琵琶湖になぞらえて，竹生島を模した島をつくって弁財天をまつり，清水寺を模して清水観音堂を建立。ハスの名所で将軍にそれを献上したことで知られる。池のほとりにはサクラが植えられ，山下に見世物，茶店が集まり，江戸時代から名所として繁栄。今日，四季を通じ都民の憩いの場となっている。冬はカモなどの渡り鳥が多数渡来する。,30,アウトドア,,,,1100007,東京都,台東区上野公園5-20,,,0,,,,気軽に楽しみたい.有名.静けさ.子供向け.大人向け
浅草「鶏よし」,飲食,丼,no,asakusa_toriyoshi.jpg,開放鶏舎で飼育された伊達地鶏を使った名物の鶏よし鍋をはじめ、多彩な鶏料理が堪能できる。コース料理も提供している。,開放鶏舎で飼育された伊達地鶏を使った名物の鶏よし鍋をはじめ、多彩な鶏料理が堪能できる。コース料理も提供している。,40,インドア,,,,1110032,東京都,台東区浅草1-8-2,,,1500,,,,有名
浅草「六文銭」,飲食,もんじゃ,no,rokumon.jpg,さまざまなもんじゃが食べられるお店。値段も一枚1000円いかないので安い！ホルモンじゃと明太もんじゃが個人的にはオススメ。味濃いめがお酒に合います。,さまざまなもんじゃが食べられるお店。値段も一枚1000円いかないので安い！ホルモンじゃと明太もんじゃが個人的にはオススメ。味濃いめがお酒に合います。,60,インドア,,,,1110032,東京都,台東区浅草1-16-9,,,1500,,,,穴場
回転寿司「トリトン」,飲食,寿司,no,kaitenzushi_toriton.jpg,北海道の海の幸が食べられる回転寿司「トリトン」。回転寿司では少々高めの値段設定ですが、それを上回る新鮮で美味しいネタが食べられます,北海道の海の幸が食べられる回転寿司「トリトン」。回転寿司では少々高めの値段設定ですが、それを上回る新鮮で美味しいネタが食べられます。季節のネタも大好評。行列ができることも多いので、早めに行くことをおすすめします。,60,インドア,,,,1310033,東京都,墨田区押上1-1-2,東京スカイツリータウン・ソラマチ6F,,2000,,,,有名
麺屋社中,飲食,ラーメン,no,menyashatyu.jpg,押上、スカイツリー駅、徒歩5分。　濃厚鶏スープを使用したおいしいラーメン、つけ麺が食べれるお店！,押上、スカイツリー駅、徒歩5分。　濃厚鶏スープを使用したおいしいラーメン、つけ麺が食べれるお店！,40,インドア,,,,1300002,東京都,墨田区業平2-16-11,,,1500,,,,穴場
肉盛酒場,飲食,肉,no,nikumorisakaba.jpg,上野エリアの肉居酒屋として注目を集めている、国産和牛をふんだんに使用したハイコスパな居酒屋『とろにく 上野店』。,"上野エリアの肉居酒屋として注目を集めている、国産和牛をふんだんに使用したハイコスパな居酒屋『とろにく 上野店』。
お店の名物料理は「国産和牛のとろ肉タワー鍋」。名前の通り、タワーのように積み重なった牛肉を鉄板鍋で焼く豪快な一品。
仕上げには「とろろ」をかけてまろやかな味わいに。ボリュームたっぷり、2～3人でシェアするのがおすすめの名物グルメだ。
ほかにも、上質な黒毛和牛をたっぷり使用した鍋や、数量限定の食べ放題プランなど、贅を尽くした肉料理をリーズナブルに楽しめる。",40,インドア,,,,1100005,東京都,台東区上野6-14,ベリタス岡埜栄泉ビル5F,,1500,,,,有名
135酒場,飲食,中華,no,isagoya.jpeg,"安かろう悪かろうを覆す「安くて旨い」大衆居酒屋
100円・300円・500円(税抜)で絶品料理をたっぷり楽しめる！
【完全個室】お座敷個室/フロア貸切","安かろう悪かろうを覆す「安くて旨い」大衆居酒屋
100円・300円・500円(税抜)で絶品料理をたっぷり楽しめる！
【完全個室】お座敷個室/フロア貸切",40,インドア,,,,1100005,東京都,台東区上野5-25-8,御徒町グランディアビル 2F,,3000,,,,穴場
博物館に初もうで,アート,,yes,hakubutukan_hatumode.jpg,"2019年は「亥」年。干支にちなんで亥を表した作品の特集「博物館に初もうで　イノシシ 勢いのある年に」や、お正月にふさわしい吉祥モチーフの名品などを展示します。
",東京国立博物館は、2019年も1月2日(水)から開館し、お正月の恒例企画「博物館に初もうで」を行います。2019年は「亥」年。干支にちなんで亥を表した作品の特集「博物館に初もうで　イノシシ 勢いのある年に」や、お正月にふさわしい吉祥モチーフの名品などを展示します。1月2日(水)・3日(木)には、和太鼓の演奏や獅子舞など日本の伝統的なお正月のイベントを開催するほか、館内にはいけばなの飾りもしつらえ、新年を寿ぐムードでいっぱいです。,30,インドア,2019/1/2,2019/1/27,,1108712,東京都,台東区上野公園13-9,,,0,,,,トラディショナル.気軽に楽しみたい.有名.大人向け
いちごフェア,飲食,,yes,ichigofare.jpg,松坂屋上野店では、この『いちごの日』にちなみ1月9日(水)～22日(火)の期間、いちごスイーツ全30種類が勢ぞろいする「みんな大好き！いちごフェア」が開催されます。どんないちごのスイーツが登場するのかワクワクしますね！,松坂屋上野店では、この『いちごの日』にちなみ1月9日(水)～22日(火)の期間、いちごスイーツ全30種類が勢ぞろいする「みんな大好き！いちごフェア」が開催されます。どんないちごのスイーツが登場するのかワクワクしますね！,30,インドア,2019/1/9,2019/1/22,,1108503,東京都,台東区上野3-29-5,,,0,,,,気軽に楽しみたい.子供向け
せとうちグルメフェス,飲食,,yes,setouchifes.jpg,近ごろ注目を集める、瀬戸内の特産物が集結する大型グルメフェスが上野恩賜公園にて初開催されます。,"近ごろ注目を集める、瀬戸内の特産物が集結する大型グルメフェスが上野恩賜公園にて初開催されます。今が旬の牡蠣や、きれいで美味しい水を使った日本酒、メディアでも有名な山口県の「瓦そば」、本場広島のお好み焼き、呉でしか味わえない「呉海自カレー」、ブームの火付け役・くにまつの「汁なし担担麺」など、瀬戸内ならではのグルメを堪能できます。また、3日間毎日、先着500名に「首都圏初開催を記念するキャンペーン」として牡蠣や日本酒を無料で振る舞い！
その他日替わりで行われる瀬戸内ゆかりの有名人によるトークショーや、最終日には阿波おどりのパフォーマンスも楽しめます。",40,アウトドア,2019/1/12,2019/1/14,,1100007,東京都,台東区上野公園5-20,,,0,,,,気軽に楽しみたい.賑わい
日本伝統文化フェスタ,アート,,yes,jtc_festa.png,忍者体験や組紐体験をはじめ日本の伝統文化が大集合！見て、体感して、味わえる5日間。,日本の伝統文化を一度に楽しめるイベントが上野恩賜公園で2月7日(木)から開催されます。会場内は体験・物販エリア、飲食エリア、イベントエリアで構成。手裏剣打ち体験から組紐体験、射的やご当地グルメまで日本の様々な文化に触れることができます。入場および閲覧は無料となっているので、気軽に訪れてみてはいかがでしょうか。,40,アウトドア,2019/2/7,2019/2/11,,1100007,東京都,台東区上野公園5-20,,,0,,,,トラディショナル.賑わい
春遊び！ここはお江戸の水族館,自然,,yes,sumida_festa.png,すみだ水族館でお正月の遊びを楽しもう！新年を祝うオットセイパレードや、水族館ならではのスペシャル福袋も登場。,"子どもを対象に、飼育スタッフと一緒にオットセイと新年を祝うパレードに参加できる「お正月！オットセイパレード」が開催されます。参加者はオットセイのお面をかぶって、オットセイと一緒に新年のあいさつをしながら館内をパレードします。
また、毎年販売される福袋は、すみだ水族館を夜間貸し切り、「東京大水槽」の前でフルコースディナーを味わうことができるスペシャルな企画が用意されています。
さらに、期間中は体験プログラムとして、目隠しをして福笑いをしながらオットセイのお面を作る「お面でオット！福笑い」や、好きな生きもののデザインに色を塗ってオリジナルの年賀状を作成する「いきもの年賀状」など、お正月気分を味わえるプログラムが開催されます。いきもの年賀状は、完成後に切手を貼って投函することもできます。
このほか、エントランスには「1」が並ぶ1月1日にちなみ、フォトスポットにもなるチンアナゴ門松が登場するなど、館内にお正月ならではの縁起物が登場します。ペンギンカフェでは、焼いたおもちにオリジナルのペンギン海苔を巻いた「ペンギン磯辺焼き」も販売されます。
初詣や新年のおでかけの帰りに、お正月気分を満喫できる新年初すみだ水族館へ足を運んでみてはいかがでしょうか。
",60,インドア,2019/1/1,2019/1/14,,1310045,東京都,墨田区押上1-1-2,,,2050,,,,気軽に楽しみたい.有名.静けさ.子供向け.大人向け
